2025-03-17 17:17:47 - [x] Subskrybent nasłuchuje na kolejce 'probaataku'
2025-03-17 17:17:47 - Nasłuchiwanie rozpoczęte. Naciśnij dowolny klawisz, aby zakończyć.
2025-03-17 17:56:35 - [x] Odebrano wiadomość z kolejki 'probaataku': {"EventId":"47fe94e0-7e8e-4ac3-a2ca-67be40151438","Timestamp":"2025-03-17T16:56:35.2979669Z","Data":"Dane postaci"}
2025-03-17 17:56:35 - [x] Opublikowano wiadomość do kolejki 'udanyatak': {"EventId":"3ad4e68e-32ec-4a4c-a7cb-4f0cdbf35cb1","Timestamp":"2025-03-17T16:56:35.3309409Z","Data":"Dane ataku"}
2025-03-17 17:56:39 - [x] Odebrano wiadomość z kolejki 'probaataku': {"EventId":"66a59456-0e0b-4934-95e5-1e11a2c01288","Timestamp":"2025-03-17T16:56:39.0704565Z","Data":"Dane postaci"}
2025-03-17 17:56:39 - [x] Opublikowano wiadomość do kolejki 'udanyatak': {"EventId":"3151c194-82b8-4e23-b527-99a7ffedc5ea","Timestamp":"2025-03-17T16:56:39.1077627Z","Data":"Dane ataku"}
2025-03-17 17:56:42 - [x] Odebrano wiadomość z kolejki 'probaataku': {"EventId":"f3a9e88c-64be-4f7e-9650-bd3b7a736803","Timestamp":"2025-03-17T16:56:42.5604843Z","Data":"Dane postaci"}
2025-03-17 17:56:42 - [x] Opublikowano wiadomość do kolejki 'udanyatak': {"EventId":"10e21bc1-766e-4b6e-80c1-790ea5605130","Timestamp":"2025-03-17T16:56:42.5931985Z","Data":"Dane ataku"}
2025-03-17 17:56:49 - [x] Odebrano wiadomość z kolejki 'probaataku': {"EventId":"0b2d7dbb-522b-425d-83cb-4a549cc07c60","Timestamp":"2025-03-17T16:56:49.7343866Z","Data":"Dane postaci"}
2025-03-17 17:56:49 - [x] Opublikowano wiadomość do kolejki 'udanyatak': {"EventId":"85f3ca92-2f58-445f-a274-0b833d2384fb","Timestamp":"2025-03-17T16:56:49.7672238Z","Data":"Dane ataku"}
2025-03-17 17:56:58 - [x] Odebrano wiadomość z kolejki 'probaataku': {"EventId":"f6bc8377-cb7c-4ba5-8970-fb37e3f39c0d","Timestamp":"2025-03-17T16:56:58.9164069Z","Data":"Dane postaci"}
2025-03-17 17:56:58 - [x] Opublikowano wiadomość do kolejki 'udanyatak': {"EventId":"05b99a09-c49d-443a-9f72-2b7e4419e324","Timestamp":"2025-03-17T16:56:58.9495661Z","Data":"Dane ataku"}
2025-03-17 17:57:04 - [x] Odebrano wiadomość z kolejki 'probaataku': {"EventId":"01d30a2e-08e6-4c52-b193-b00135d48eb2","Timestamp":"2025-03-17T16:57:04.009835Z","Data":"Dane postaci"}
2025-03-17 17:57:04 - [x] Opublikowano wiadomość do kolejki 'udanyatak': {"EventId":"c9f79156-48de-4395-aad7-140761c03a6f","Timestamp":"2025-03-17T16:57:04.0427856Z","Data":"Dane ataku"}
2025-03-17 17:57:13 - [x] Odebrano wiadomość z kolejki 'probaataku': {"EventId":"280cbb70-019d-49ac-91a3-0effde310520","Timestamp":"2025-03-17T16:57:13.377541Z","Data":"Dane postaci"}
2025-03-17 17:57:13 - [x] Opublikowano wiadomość do kolejki 'udanyatak': {"EventId":"ce03494f-efe2-4b3a-badb-0684e2873a2c","Timestamp":"2025-03-17T16:57:13.4200406Z","Data":"Dane ataku"}
2025-03-17 17:57:18 - [x] Odebrano wiadomość z kolejki 'probaataku': {"EventId":"06784678-026a-4a41-a720-b6e1bf5b9bed","Timestamp":"2025-03-17T16:57:18.1774913Z","Data":"Dane postaci"}
2025-03-17 17:57:18 - [x] Opublikowano wiadomość do kolejki 'udanyatak': {"EventId":"61542d88-8f62-41c4-8cbd-977774a5b07d","Timestamp":"2025-03-17T16:57:18.2126076Z","Data":"Dane ataku"}
2025-03-17 17:57:21 - [x] Odebrano wiadomość z kolejki 'probaataku': {"EventId":"3d738d6d-6efc-4e7c-89ae-f0dd71562be3","Timestamp":"2025-03-17T16:57:21.2664128Z","Data":"Dane postaci"}
